Hour,Christ's,Churchill,Clare,Clare Hall,Corpus Christi,Darwin,Downing,Emmanuel,Fitzwilliam,Girton,Gonville and Caius,Homerton,Hughes Hall,Jesus,King's,Lucy Cavendish,Magdalene,Murray Edwards,Newnham,Pembroke,Peterhouse,Queens',Robinson,St Catharine's,St Edmund's,St John's,Trinity,Selwyn,Trinity Hall,Sidney Sussex,The Eagle,The Anchor,The Mill,The Maypole,The Free Press,The Pickerel Inn,The Mitre,The Castle Inn,The Pint Shop,The Cambridge Blue,The Bath House,The Old Spring,The Punter,The Haymakers,The Waterman,The Grain & Hop Store,The Tivoli,The Orator,The Baron of Beef,The Champion of the Thames,MASH,Lola Lo,Revolution,Vinyl,Sainsbury's (Sidney Street),Tesco Superstore (Newmarket Rd),Aldi Histon Road,"Tesco Express, Christ's Lane","Co-op, Mill Road	","Co-op, Hills Road	","Tesco Express, Petty Cury",M&S Foodhall (Market Square),University Library,Parker's Piece,Jesus Green,Grand Arcade Shopping Centre,Christ's College bar,Churchill College bar,Clare College bar,Clare Hall bar,Corpus Christi College bar,Darwin College bar,Downing College bar,Emmanuel College bar,Fitzwilliam College bar,Girton College bar,Gonville & Caius College bar,Homerton College bar,Hughes Hall bar,Jesus College bar,King's College bar,Lucy Cavendish College bar,Magdalene College bar,Murray Edwards College bar,Newnham College bar,Pembroke College bar,Peterhouse bar,Queens' College bar,Robinson College bar,St Catharine's College bar,St Edmund's College bar,St John's College bar,Selwyn College bar,Trinity College bar,Trinity Hall College bar,Sidney Sussex College bar,Christ's College Canteen,Churchill College Canteen,Clare College Canteen,Clare Hall Canteen,Corpus Christi College Canteen,Darwin College Canteen,Downing College Canteen,Emmanuel College Canteen,Fitzwilliam College Canteen,Girton College Canteen,Gonville & Caius College Canteen,Homerton College Canteen,Hughes Hall Canteen,Jesus College Canteen,King's College Canteen,Lucy Cavendish College Canteen,Magdalene College Canteen,Murray Edwards College Canteen,Newnham College Canteen,Pembroke College Canteen,Peterhouse Canteen,Queens' College Canteen,Robinson College Canteen,St Catharine's College Canteen,St Edmund's College Canteen,St John's College Canteen,Selwyn College Canteen,Trinity College Canteen,Trinity hall college Canteen,Sidney Sussex College Canteen,Christ's College Library,Churchill College Library,Clare College Library,Clare Hall Library,Corpus Christi College Library,Darwin College Library,Downing College Library,Emmanuel College Library,Fitzwilliam College Library,Girton College Library,Gonville & Caius College Library,Homerton College Library,Hughes Hall Library,Jesus College Library,King's College Library,Lucy Cavendish College Library,Magdalene College Library,Murray Edwards College Library,Newnham College Library,Pembroke College Library,Peterhouse Library,Queens' College Library,Robinson College Library,St Catharine's College Library,St Edmund's College Library,St John's College Library,Selwyn College Library,Trinity College Library,Trinity Hall Library,Sidney Sussex College Library,Architecture Tripos Lectures,Asian & Middle Eastern Studies Lectures,Chem Eng via Engineering Lectures,Chem Eng via Nat Sciences Lectures,Classical Tripos Lectures,Classical Tripos Four Year Lectures,Computer Science Tripos Lectures,Economics Tripos Lectures,Education Tripos Lectures,Engineering Tripos Lectures,English Tripos Lectures,Geographical Tripos Lectures,Historical Tripos Lectures,History of Art Tripos Lectures,"Hum, Soc & Pol Sciences Tripos Lectures",Land Economy Tripos Lectures,Law Tripos Lectures,Linguistics Tripos Lectures,Mathematical Tripos Lectures,Medicine Lectures,Mod & Med Langs Tripos Lectures,Music Tripos Lectures,Natural Sciences Tripos Lectures,Philosophy Tripos Lectures,Psych & Behav Sciences Tripos Lectures,"Theo,Relig,&Philo of Re Tripos Lectures",History & Politics Tripos Lectures,History and Mod Lang Tripos Lectures,Veterinary Medicine Lectures,Archaeology Tripos Lectures,ASNC Tripos Lectures,Theol for Ministry Exam Lectures,Medicine (Graduate Course) Lectures,Architecture Tripos Library,Asian & Middle Eastern Studies Library,Chem Eng via Engineering Library,Chem Eng via Nat Sciences Library,Classical Tripos Library,Classical Tripos Four Year Library,Computer Science Tripos Library,Economics Tripos Library,Education Tripos Library,Engineering Tripos Library,English Tripos Library,Geographical Tripos Library,Historical Tripos Library,History of Art Tripos Library,"Hum, Soc & Pol Sciences Tripos Library",Land Economy Tripos Library,Law Tripos Library,Linguistics Tripos Library,Mathematical Tripos Library,Medicine Library,Mod & Med Langs Tripos Library,Music Tripos Library,Natural Sciences Tripos Library,Philosophy Tripos Library,Psych & Behav Sciences Tripos Library,"Theo,Relig,&Philo of Re Tripos Library",History & Politics Tripos Library,History and Mod Lang Tripos Library,Veterinary Medicine Library,Archaeology Tripos Library,ASNC Tripos Library,Theol for Ministry Exam Library,Medicine (Graduate Course) Library,Fitzbillies,The Copper Kettle,Bould Brothers Coffee,Aromi,Hot Numbers Coffee,Stir,Indigo Coffee House,Michaelhouse Cafe,Outdoors,Alone (Life),Sleep,Own Room,Outside
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
